Year,Brazil,China,India,Russia,USA
1990,490.73,577.24,646.14,342.44,392.79
1995,503.57,651.99,676.53,213.56,402.87
2000,503.38,657.74,699.60,188.94,406.24
2005,691.82,681.87,704.10,152.80,415.11
2010,644.12,702.38,732.32,155.29,454.94
2015,664.69,731.43,758.53,154.59,489.03
2020,669.72,756.40,785.23,155.02,512.27
2025,671.30,781.53,812.73,155.48,535.63
2030,671.85,804.69,840.23,155.72,558.97
