Country,Emission_in_1990,Emission_in_1995,Emission_in_2000,Emission_in_2005,Emission_in_2010,Emission_in_2015,Emission_in_2020,Emission_in_2025,Emission_in_2030
China,1006.01,1135.64,1143.94,1404.71,1586.46,1734.85,1953.70,2339.59,2818.30
United States,1044.57,1073.81,1078.56,1058.22,1152.05,1251.33,1360.13,1486.59,1570.67
India,766.70,817.64,854.49,898.37,1004.58,1058.53,1123.96,1211.41,1315.23
Brazil,534.58,558.56,560.20,756.80,715.92,745.77,761.82,779.71,794.49
Russia,854.31,617.14,609.02,622.55,647.89,668.88,718.64,764.20,803.15
Indonesia,273.80,302.29,311.43,362.71,383.54,401.57,419.03,438.80,462.89
Mexico,153.55,168.00,195.05,211.56,240.35,251.85,267.88,294.95,325.65
Nigeria,140.60,146.44,168.64,190.02,201.34,222.94,239.89,256.39,272.50
Angola,129.44,124.30,129.01,155.92,194.08,202.43,199.66,204.31,212.60
Argentina,138.39,147.74,159.99,171.88,181.16,193.79,203.87,215.05,225.83
Canada,138.68,190.58,162.29,171.39,180.85,199.79,213.50,230.57,244.42
Congo (Kinshasa),237.01,212.34,176.47,167.23,169.34,171.35,173.53,175.93,178.46
Australia,160.36,149.97,172.84,153.05,158.25,168.63,177.19,187.45,197.11
Pakistan,86.31,99.01,113.36,131.60,154.48,169.41,184.28,201.45,220.45
Burma,162.55,180.41,139.12,144.14,151.65,156.79,162.53,168.75,175.50
Sudan,81.03,94.71,117.71,140.49,150.15,158.17,165.24,173.60,180.98
France,161.23,158.37,145.76,132.55,135.70,144.56,149.05,153.91,156.72
Germany,172.41,152.67,119.82,115.79,116.64,108.97,112.63,119.39,127.81
Ethiopia,73.51,71.34,78.62,95.40,116.24,128.79,139.29,150.16,161.32
Thailand,85.68,91.46,89.61,101.25,112.51,118.45,125.68,137.98,150.65
Uzbekistan,69.80,85.92,92.71,99.73,110.52,122.93,131.18,134.99,138.85
Kuwait,48.85,83.59,86.84,106.15,109.02,111.11,109.68,117.67,128.75
Colombia,78.04,85.77,90.40,100.98,107.93,115.66,122.79,129.59,137.69
