Country,Emission_in_1990,Emission_in_1995,Emission_in_2000,Emission_in_2005,Emission_in_2010,Emission_in_2015,Emission_in_2020,Emission_in_2025,Emission_in_2030
Iran,66.90,76.83,84.18,96.66,102.74,108.08,113.48,122.53,132.28
Vietnam,57.41,69.58,82.04,92.50,98.85,104.83,110.42,117.32,125.37
Japan,94.47,104.53,103.52,94.36,93.68,106.08,122.37,144.76,165.12
United Kingdom,174.46,150.38,119.21,96.62,92.47,96.35,99.09,102.20,103.82
Ukraine,206.47,131.32,98.67,95.49,91.10,90.85,91.46,92.37,93.46
Turkey,62.16,79.00,86.36,83.64,89.77,95.97,102.18,109.23,115.69
Central African Republic,113.05,107.71,85.38,86.07,89.24,91.59,94.15,96.99,100.13
Malaysia,61.79,69.78,71.45,81.36,87.25,96.03,105.51,119.60,137.03
Venezuela,69.39,78.03,85.41,85.01,84.76,90.35,100.61,112.66,123.71
South Korea,43.39,47.58,61.98,73.22,84.10,95.75,111.62,143.25,170.07
Cameroon,84.98,83.77,85.36,81.51,81.82,82.93,83.97,85.04,86.11
South Africa,73.49,71.44,71.89,75.23,81.65,88.39,95.57,109.40,119.51
Libya,57.57,58.37,59.77,71.01,81.04,74.84,68.83,70.24,71.51
Italy,82.02,86.33,90.69,86.84,80.69,85.51,89.92,95.09,99.34
Spain,60.96,65.52,79.18,72.41,72.97,76.41,78.60,81.28,83.78
Qatar,19.57,23.45,41.72,55.18,71.81,94.62,104.83,115.17,123.91
Bangladesh,49.71,54.72,58.73,63.72,70.79,78.03,86.71,97.11,109.22
Poland,91.12,80.45,68.59,67.05,69.32,71.92,74.57,77.24,80.29
Tanzania,61.38,57.94,57.22,64.51,66.66,69.46,71.54,73.63,75.67
Zambia,79.30,67.51,52.30,62.10,65.46,67.79,70.21,72.85,75.68
Philippines,42.77,47.69,53.09,57.37,62.72,68.28,75.15,85.74,96.28
Egypt,35.38,41.11,46.50,53.87,62.19,69.05,76.22,84.85,93.10
Bolivia,42.04,40.19,39.00,52.95,54.97,57.00,58.78,60.82,62.82
Kazakhstan,83.63,52.88,42.21,46.96,53.48,57.26,59.77,62.52,66.04
Cote d'Ivoire,37.69,39.72,45.86,45.00,47.55,50.42,53.44,56.74,59.99
Turkmenistan,28.12,20.80,29.47,40.51,43.91,49.98,53.69,55.53,57.74
Romania,70.93,51.18,40.67,43.99,43.23,43.48,43.65,44.37,45.07
New Zealand,36.42,37.14,39.57,41.38,41.49,43.70,45.64,47.79,50.00
Saudi Arabia,23.28,27.01,31.38,37.13,41.31,46.43,51.60,59.50,66.88
Algeria,23.22,24.73,29.58,34.67,39.07,46.97,51.83,56.79,61.06
Chile,15.14,21.52,28.03,35.84,37.75,40.24,42.71,45.75,48.71
Oman,27.89,34.78,40.75,36.95,37.59,41.40,37.60,39.32,38.42
Paraguay,31.74,34.21,31.16,32.79,35.63,38.34,40.64,43.21,45.59
Chad,20.98,21.42,25.79,33.61,34.71,36.87,38.52,40.38,41.99
Netherlands,51.55,52.97,43.29,36.00,34.43,35.82,36.92,38.45,40.12
Syria,24.13,32.29,33.09,32.78,34.40,38.50,38.30,41.97,44.31
Cambodia,22.70,25.26,24.02,33.97,34.19,35.68,36.01,36.68,37.55
Kenya,28.18,27.07,26.78,30.78,34.14,36.56,38.87,41.43,44.07
Azerbaijan,17.70,13.20,16.05,20.90,34.10,41.63,44.49,46.50,49.23
Nepal,23.46,26.25,29.35,30.65,33.17,36.92,40.80,45.44,50.87
Peru,24.72,26.44,30.88,31.17,33.10,35.49,37.69,40.45,43.06
Madagascar,27.55,27.58,26.36,29.24,30.46,32.14,33.24,34.41,35.55
Uruguay,24.04,26.30,23.83,26.20,28.14,31.06,33.62,36.69,39.57
North Korea,34.24,25.51,23.18,25.93,27.12,29.21,32.56,39.06,47.20
Sri Lanka,23.52,24.61,24.01,25.49,26.35,28.02,29.37,31.07,32.90
Cuba,30.57,16.32,20.05,23.62,25.82,28.39,30.78,34.06,37.17
Mozambique,20.26,18.80,23.40,24.89,25.56,26.25,26.71,27.19,27.71
Mali,15.66,15.95,17.49,21.03,25.10,28.49,32.04,36.61,42.64
Uganda,16.69,17.35,17.11,22.45,24.26,25.48,26.69,27.98,29.40
United Arab Emirates,12.70,14.99,17.62,20.95,24.09,26.61,28.69,31.79,34.94
Belarus,27.80,18.61,19.88,22.96,23.94,23.82,23.85,23.97,23.96
Guatemala,9.91,11.42,36.91,22.41,23.75,25.13,26.47,28.11,29.61
Somalia,21.43,21.01,22.17,23.84,22.99,23.89,24.95,26.43,27.99
Ireland,22.99,23.98,24.21,22.53,22.15,22.77,22.91,23.17,23.30
Portugal,15.70,17.11,18.75,20.75,20.43,20.93,21.27,21.62,21.84
Iraq,16.02,18.80,19.02,19.42,19.95,21.62,23.62,25.79,28.07
Morocco,15.81,14.78,17.41,18.60,19.88,21.02,22.37,24.07,25.82
Czech Republic,30.57,21.94,20.13,19.74,19.38,19.80,20.24,21.05,21.59
Burkina Faso,9.47,11.00,13.21,15.94,18.72,20.82,22.70,24.82,27.22
Guinea,14.55,15.16,15.30,17.14,18.39,19.13,19.84,20.65,21.60
Afghanistan,12.00,12.45,15.01,16.40,18.31,20.37,22.66,25.37,28.21
Hungary,26.95,18.52,19.78,19.63,18.27,18.94,19.55,20.48,21.06
Laos,11.54,12.39,10.07,16.28,17.28,17.96,18.65,19.46,20.39
Greece,22.58,23.69,24.10,20.92,17.15,16.45,15.98,15.69,15.45
Ghana,13.79,14.39,16.07,15.77,17.01,17.98,19.03,20.28,21.60
Bulgaria,31.52,22.32,19.47,17.11,16.85,16.92,16.94,17.23,17.39
Belgium,20.44,21.28,20.65,17.87,16.66,17.62,18.43,19.46,20.67
Israel,9.15,11.39,14.40,13.70,16.41,20.52,25.13,33.87,39.77
Malawi,10.12,9.30,10.82,13.35,16.30,18.28,20.46,23.09,26.56
Niger,7.48,9.01,10.98,13.57,16.21,18.31,20.27,22.46,24.94
Ecuador,12.89,14.96,14.83,15.58,16.08,17.19,18.28,19.67,20.94
Equatorial Guinea,0.10,0.30,6.41,14.63,15.01,15.69,16.38,17.57,18.21
Jordan,7.26,9.37,10.32,11.74,14.67,15.62,17.42,19.54,21.56
Gabon,12.94,16.87,14.73,14.23,14.25,15.21,15.30,15.68,16.10
Sweden,16.12,16.12,15.26,14.83,14.03,13.98,14.11,14.47,14.62
Austria,16.91,16.36,14.93,13.72,13.95,14.57,15.03,15.54,15.83
