Country,Debt_to_GDP_Ratio_2003,Debt_to_GDP_Ratio_2004,Debt_to_GDP_Ratio_2005,Debt_to_GDP_Ratio_2006,Debt_to_GDP_Ratio_2007,Debt_to_GDP_Ratio_2008,Debt_to_GDP_Ratio_2009,Debt_to_GDP_Ratio_2010,Regions,text
Greece,105.8,108.6,110.6,107.7,105.7,110.6,127,147.8,EU,Greece has the Highest %age of Debt to GDP
Belgium,95.4,92.8,91.8,87.6,85.3,90.1,94.9,96.8,EU,Belgium Debt to GDP ratio reaches its peak in 2010
Austria,60.9,62.2,62.1,60.4,57.8,59.3,64.9,65.8,EU,Austria Debt to GDP ratio in 2010 : 66%
Portugal,58.3,61,66.2,67.7,66.6,68.9,78.7,88,EU,Portugal Debt to GDP ratio in 2010 : 88%
Hungary,56.2,55.7,58.1,62,61.6,67.7,72.8,73.9,EU,Hungary Debt to GDP ratio in 2010 :74%
France,51.9,52.6,53.3,52.1,52.1,53.4,61.2,67.4,EU,France Debt to GDP ratio in 2010 : 67%
Denmark,49.6,47,39.3,32.7,27.8,32.3,37.9,39.6,EU,Denamrk Debt to GDP ratio falls to 40% in 2010
Sweden,47.7,46.6,46.2,42.2,36.4,35.6,38.1,33.8,EU,Sweden Debt to GDP ratio falls to 34% in 2010
Poland,44.9,43.6,44.8,45.1,42.6,44.7,47,49.7,EU,Poland Debt to GDP ratio rises in 2010 to 50%
Finland,43.5,41.9,38.2,35.6,31.2,29.5,37.5,41.7,EU,Finaland Debt to GDP ratio in 2010 :42%
Netherlands,43,43.8,43,39.2,37.6,50.1,49.7,51.8,EU,Netherlands Debt to GDP ratio in 2010 :
Spain,40.7,39.3,36.4,33,30,33.7,46,51.7,EU,Spain Debt to GDP ratio in 2010 : 52%
United Kingdom,38.7,40,43.5,43.2,42.7,61.1,75.3,85.5,EU,Britains Debt to GDP ratio in 2010 : 86%
Germany,38.5,39.9,40.8,41.2,39.6,39.6,44.2,44.4,EU,Germany Debt to GDP ratio in 2010 : 44%
Slovak Republic,35.1,38.4,33.1,29.2,28.1,26.3,33.7,39.1,EU,Slovak Republic Debt to GDP ratio in 2010 : 40%
Slovenia,26.9,27.1,26.9,25.8,23.2,21.2,33.6,36,EU,Slovenia Debt to GDP ratio in 2010 : 36%
Ireland,26.9,25.3,23.5,20.3,19.8,28,47.1,60.7,EU,Ireland Debt to GDP ratio in 2010 : 61%
Czech Republic,19.1,21.1,23.2,24.9,25.2,27.1,32.5,36.6,EU,Czech Republic Debt to GDP ratio in 2010 : 37%
Estonia,3.1,2.6,2.1,1.8,1.3,1.8,3.6,3.2,EU,Estonia Debt to GDP ratio in 2010 : 3.2%
Luxembourg,1.7,1.4,0.8,1.5,1.4,8.2,8.5,12.6,EU,Luxembourg Debt to GDP ratio in 2010 : 13%
