CountryName,2004,2012,rank04,rank12
Pakistan,81,69.3,10,4
Swaziland,81.1,55.7,9,9
Lesotho,83.6,74.2,8,1
Afghanistan,85.3,71,7,2
Burundi,86,66.9,6,2
Niger,86.5,62.8,5,4
Guinea,87.5,65.2,4,3
Burkina Faso,89.4,65.8,3,2
Equatorial Guinea,90.1,72.2,2,1
Liberia,90.4,56,1,1
