CountryName,CountryCode,child,gdp,gdp_bil
Tuvalu,TUV,29.7,"39,875,708.12",0.039875708
Kiribati,KIR,59.9,"174,984,468.83",0.174984469
Marshall Islands,MHL,37.9,"182,400,000.00",0.1824
Palau,PLW,20.8,"228,415,735.26",0.228415735
Sao Tome and Principe,STP,53.2,"263,398,378.00",0.263398378
"Micronesia, Fed. Sts.",FSM,38.5,"326,160,960.78",0.326160961
Tonga,TON,12.8,"471,575,497.31",0.471575497
Dominica,DMA,12.6,"479,688,888.89",0.479688889
Comoros,COM,77.6,"595,900,353.49",0.595900353
Samoa,WSM,17.8,"683,719,606.27",0.683719606
St. Vincent and the Grenadines,VCT,23.4,"712,588,888.89",0.712588889
Grenada,GRD,13.5,"766,510,727.20",0.766510727
St. Kitts and Nevis,KNA,9.2,"767,000,000.00",0.767
Vanuatu,VUT,17.9,"787,073,459.02",0.787073459
Guinea-Bissau,GNB,129.1,"822,321,032.41",0.822321032
"Gambia, The",GMB,72.9,"907,430,835.28",0.907430835
Solomon Islands,SLB,31.1,"1,008,424,232.18",1.008424232
Seychelles,SYC,13.1,"1,128,753,720.63",1.128753721
Antigua and Barbuda,ATG,9.9,"1,134,159,259.26",1.134159259
St. Lucia,LCA,17.5,"1,238,640,740.74",1.238640741
Timor-Leste,TLS,56.7,"1,293,000,000.00",1.293
Liberia,LBR,74.8,"1,733,823,552.71",1.733823553
Bhutan,BTN,44.6,"1,779,561,112.29",1.779561112
Cabo Verde,CPV,22.2,"1,827,021,561.65",1.827021562
Central African Republic,CAF,128.6,"2,184,181,390.99",2.184181391
Maldives,MDV,10.5,"2,222,429,330.40",2.22242933
Lesotho,LSO,99.6,"2,447,573,299.48",2.447573299
Burundi,BDI,104.3,"2,472,384,864.13",2.472384864
Guyana,GUY,35.2,"2,850,572,407.05",2.850572407
Eritrea,ERI,51.8,"3,091,837,398.37",3.091837398
Swaziland,SWZ,79.7,"3,744,472,287.07",3.744472287
Sierra Leone,SLE,181.6,"3,796,030,045.14",3.796030045
Togo,TGO,95.5,"3,813,834,650.20",3.81383465
Fiji,FJI,22.4,"3,907,563,304.51",3.907563305
Mauritania,MRT,84,"4,199,051,817.06",4.199051817
Barbados,BRB,18.4,"4,224,850,000.00",4.22485
Malawi,MWI,71,"4,263,794,983.90",4.263794984
Montenegro,MNE,5.9,"4,373,170,811.73",4.373170812
Suriname,SUR,20.8,"5,012,121,214.25",5.012121214
Guinea,GIN,101.2,"5,631,621,297.89",5.631621298
Kyrgyz Republic,KGZ,26.6,"6,474,843,799.06",6.474843799
Niger,NER,113.5,"6,773,185,511.27",6.773185511
Rwanda,RWA,55,"7,103,000,861.21",7.103000861
Moldova,MDA,17.6,"7,252,769,934.45",7.252769934
Benin,BEN,89.5,"7,557,286,829.00",7.557286829
Tajikistan,TJK,58.3,"7,632,614,221.01",7.632614221
Haiti,HTI,75.6,"7,843,484,458.15",7.843484458
"Bahamas, The",BHS,16.9,"8,149,004,000.00",8.149004
Malta,MLT,6.8,"8,721,923,076.92",8.721923077
Lao PDR,LAO,71.8,"9,417,665,585.95",9.417665586
"Macedonia, FYR",MKD,7.4,"9,612,518,136.35",9.612518136
Zimbabwe,ZWE,89.8,"9,802,360,203.02",9.802360203
Armenia,ARM,16.4,"9,950,522,732.79",9.950522733
Madagascar,MDG,58.2,"9,975,124,872.41",9.975124872
South Sudan,SSD,104,"10,220,256,856.52",10.22025686
Mongolia,MNG,27.5,"10,271,393,281.38",10.27139328
Mali,MLI,128,"10,387,718,375.33",10.38771838
Mauritius,MUS,15.1,"10,486,037,633.99",10.48603763
Nicaragua,NIC,24.4,"10,507,356,837.65",10.50735684
Burkina Faso,BFA,102.4,"10,726,304,840.63",10.72630484
Albania,ALB,16.7,"12,648,095,824.41",12.64809582
Chad,TCD,149.8,"12,887,072,081.64",12.88707208
Namibia,NAM,38.7,"13,072,278,942.99",13.07227894
Iceland,ISL,2.3,"13,578,943,166.65",13.57894317
"Congo, Rep.",COG,96,"13,677,928,883.64",13.67792888
Cambodia,KHM,39.7,"14,038,383,450.19",14.03838345
Senegal,SEN,59.6,"14,045,759,802.38",14.0457598
Mozambique,MOZ,89.7,"14,243,717,484.46",14.24371748
Botswana,BWA,53.3,"14,504,339,385.94",14.50433939
Jamaica,JAM,16.8,"14,755,051,129.34",14.75505113
Papua New Guinea,PNG,63,"15,653,921,367.28",15.65392137
Georgia,GEO,19.9,"15,747,288,816.19",15.74728882
Brunei Darussalam,BRN,8,"16,953,952,625.40",16.95395263
"Congo, Dem. Rep.",COD,145.7,"17,203,980,742.57",17.20398074
Bosnia and Herzegovina,BIH,6.7,"17,465,958,605.66",17.46595861
Equatorial Guinea,GNQ,100.3,"17,697,394,251.21",17.69739425
Gabon,GAB,62,"18,377,083,881.01",18.37708388
Honduras,HND,22.9,"18,434,022,403.26",18.4340224
