observation_date,DGS10
1962-01-01,4.02
1962-04-01,3.88
1962-07-01,3.99
1962-10-01,3.90
1963-01-01,3.89
1963-04-01,3.96
1963-07-01,4.03
1963-10-01,4.12
1964-01-01,4.18
1964-04-01,4.20
1964-07-01,4.19
1964-10-01,4.17
1965-01-01,4.20
1965-04-01,4.21
1965-07-01,4.25
1965-10-01,4.48
1966-01-01,4.77
1966-04-01,4.78
1966-07-01,5.15
1966-10-01,5.00
1967-01-01,4.58
1967-04-01,4.83
1967-07-01,5.25
1967-10-01,5.64
1968-01-01,5.61
1968-04-01,5.75
1968-07-01,5.46
1968-10-01,5.77
1969-01-01,6.17
1969-04-01,6.36
1969-07-01,6.86
1969-10-01,7.31
1970-01-01,7.38
1970-04-01,7.71
1970-07-01,7.46
1970-10-01,6.85
1971-01-01,6.00
1971-04-01,6.25
1971-07-01,6.49
1971-10-01,5.89
1972-01-01,6.03
1972-04-01,6.14
1972-07-01,6.29
1972-10-01,6.37
1973-01-01,6.60
1973-04-01,6.81
1973-07-01,7.22
1973-10-01,6.76
1974-01-01,7.06
1974-04-01,7.54
1974-07-01,7.96
1974-10-01,7.67
1975-01-01,7.54
1975-04-01,8.05
1975-07-01,8.29
1975-10-01,8.06
1976-01-01,7.75
1976-04-01,7.77
1976-07-01,7.73
1976-10-01,7.18
1977-01-01,7.36
1977-04-01,7.37
1977-07-01,7.36
1977-10-01,7.60
1978-01-01,8.01
1978-04-01,8.33
1978-07-01,8.49
1978-10-01,8.82
1979-01-01,9.11
1979-04-01,9.12
1979-07-01,9.10
1979-10-01,10.44
1980-01-01,11.96
1980-04-01,10.48
1980-07-01,10.94
1980-10-01,12.41
1981-01-01,12.95
1981-04-01,13.74
1981-07-01,14.84
1981-10-01,14.12
1982-01-01,14.27
1982-04-01,13.94
1982-07-01,13.11
1982-10-01,10.66
1983-01-01,10.56
1983-04-01,10.55
1983-07-01,11.64
1983-10-01,11.69
1984-01-01,11.95
1984-04-01,13.21
1984-07-01,12.87
1984-10-01,11.76
1985-01-01,11.59
1985-04-01,10.82
1985-07-01,10.34
1985-10-01,9.77
1986-01-01,8.57
1986-04-01,7.60
1986-07-01,7.31
1986-10-01,7.26
1987-01-01,7.20
1987-04-01,8.34
1987-07-01,8.87
1987-10-01,9.13
1988-01-01,8.41
1988-04-01,8.91
1988-07-01,9.10
1988-10-01,8.96
1989-01-01,9.21
1989-04-01,8.76
1989-07-01,8.11
1989-10-01,7.91
1990-01-01,8.42
1990-04-01,8.67
1990-07-01,8.70
1990-10-01,8.41
1991-01-01,8.02
1991-04-01,8.13
1991-07-01,7.95
1991-10-01,7.35
1992-01-01,7.31
1992-04-01,7.38
1992-07-01,6.62
1992-10-01,6.74
1993-01-01,6.26
1993-04-01,5.99
1993-07-01,5.62
1993-10-01,5.62
1994-01-01,6.09
1994-04-01,7.09
1994-07-01,7.33
1994-10-01,7.84
1995-01-01,7.47
1995-04-01,6.60
1995-07-01,6.33
1995-10-01,5.90
1996-01-01,5.91
1996-04-01,6.71
1996-07-01,6.78
1996-10-01,6.35
1997-01-01,6.57
1997-04-01,6.70
1997-07-01,6.24
1997-10-01,5.91
1998-01-01,5.59
1998-04-01,5.59
1998-07-01,5.21
1998-10-01,4.66
1999-01-01,5.00
1999-04-01,5.54
1999-07-01,5.88
1999-10-01,6.14
2000-01-01,6.47
2000-04-01,6.18
2000-07-01,5.89
2000-10-01,5.57
2001-01-01,5.04
2001-04-01,5.28
2001-07-01,5.00
2001-10-01,4.76
2002-01-01,5.08
2002-04-01,5.11
2002-07-01,4.27
2002-10-01,4.00
2003-01-01,3.92
2003-04-01,3.62
2003-07-01,4.23
2003-10-01,4.29
2004-01-01,4.01
2004-04-01,4.60
2004-07-01,4.30
2004-10-01,4.18
2005-01-01,4.30
2005-04-01,4.16
2005-07-01,4.22
2005-10-01,4.49
2006-01-01,4.58
2006-04-01,5.07
2006-07-01,4.89
2006-10-01,4.63
2007-01-01,4.68
2007-04-01,4.85
2007-07-01,4.74
2007-10-01,4.27
2008-01-01,3.67
2008-04-01,3.88
2008-07-01,3.86
2008-10-01,3.23
2009-01-01,2.74
2009-04-01,3.32
2009-07-01,3.52
2009-10-01,3.46
2010-01-01,3.72
2010-04-01,3.49
2010-07-01,2.78
2010-10-01,2.88
2011-01-01,3.46
2011-04-01,3.20
2011-07-01,2.41
2011-10-01,2.05
2012-01-01,2.04
2012-04-01,1.83
2012-07-01,1.64
2012-10-01,1.71
2013-01-01,1.95
2013-04-01,1.99
2013-07-01,2.71
2013-10-01,2.74
2014-01-01,2.77
2014-04-01,2.62
2014-07-01,2.50
2014-10-01,2.28
