CountryName,Parent,2009,Change
Montenegro,World,13377.52589,-5.815551785
Morocco,World,6268.108313,3.64661051
Mozambique,World,848.909375,3.609784529
Namibia,World,8165.071382,-2.598632117
Nepal,World,1940.142207,3.369287738
Netherlands,World,42515.52001,-4.161727577
New Zealand,World,31471.08435,0.396706666
Nicaragua,World,3860.681868,-3.461900686
Niger,World,806.5530128,-4.378801583
Nigeria,World,4906.25057,4.062566521
Norway,World,62352.09588,-2.867605209
Oman,World,49797.78065,-1.545955091
Pakistan,World,4227.831227,0.966043846
Palau,World,13212.04927,-11.11242574
Panama,World,13286.26666,2.064881763
Papua New Guinea,World,2002.62411,3.077576401
Paraguay,World,6521.339059,-5.650816524
Peru,World,9723.945599,-0.154293695
Philippines,World,5304.05343,-0.519502375
Poland,World,20207.23778,1.531175883
Portugal,World,25632.02278,-3.000871628
Puerto Rico,World,33321.2126,-1.416210879
Qatar,World,125127.756,-2.677245822
Romania,World,16702.81352,-6.019077414
Russian Federation,World,20799.39297,-7.794902611
Rwanda,World,1197.10234,3.149345865
Samoa,World,4817.149605,-5.747381757
Sao Tome and Principe,World,2700.600636,1.028411062
Saudi Arabia,World,43726.52279,0.195063821
Senegal,World,2152.892882,-0.408908171
Serbia,World,11329.71096,-3.112276215
Seychelles,World,19923.92486,-1.494605211
Sierra Leone,World,1304.816169,1.25413702
Singapore,World,62250.17856,-3.734787153
Slovak Republic,World,23469.09625,-5.058185425
Slovenia,World,27757.87627,-8.83560663
Solomon Islands,World,1729.664865,-3.391594752
South Africa,World,11409.6951,-2.823839332
South Sudan,World,3669.871173,-0.092158279
Spain,World,32039.97496,-4.680394546
Sri Lanka,World,7080.363092,2.359226649
St. Kitts and Nevis,World,20303.38548,-8.01431058
St. Lucia,World,10350.45913,-1.277042485
St. Vincent and the Grenadines,World,10326.54558,-2.260302274
Sudan,World,3140.132213,0.404842256
Suriname,World,13679.5963,2.062921164
Swaziland,World,6161.608297,-0.43793246
Sweden,World,38693.36066,-5.833380931
Switzerland,World,50019.53537,-3.154491861
Tajikistan,World,2029.365005,1.119203922
Tanzania,World,1487.568474,2.903158777
Thailand,World,11915.2218,-2.465417792
Timor-Leste,World,1603.463211,9.499001377
Togo,World,1207.648999,0.866058984
Tonga,World,4846.251085,2.62997117
Trinidad and Tobago,World,29383.38274,-4.830463421
Tunisia,World,10476.21441,1.95697121
Turkey,World,15544.95896,-5.998263333
Turkmenistan,World,9302.734457,4.791181837
Tuvalu,World,3318.747485,-4.627727308
Uganda,World,1264.120379,3.708477217
Ukraine,World,7510.263915,-14.42092879
United Arab Emirates,World,61725.27965,-16.14710791
United Kingdom,World,34408.93014,-5.878700614
United States,World,48501.9184,-3.650781352
Uruguay,World,15047.45178,1.894578392
Uzbekistan,World,3967.710515,6.291286905
Vanuatu,World,2941.355856,0.874857263
"Venezuela, RB",World,17056.48674,-4.76935098
Vietnam,World,4259.960398,4.291908794
"Yemen, Rep.",World,4441.463448,1.408282273
Zambia,World,2661.562701,2.997640026
Zimbabwe,World,1125.197002,5.121997196
