CountryName,Parent,2009,Change
World,NA,16537.35518,-3.986070888
Asia,World,79124.11472,-2
Europe,World,143067.7908,-2.98
Africa,World,26893.57129,-1
S.America,World,40433.48529,-4
N.America,World,38972.03887,-2
Afghanistan,Asia,1547.539119,18.06813695
Bahrain,Asia,40823.75032,-3.432856331
Bangladesh,Asia,2034.203406,4.656798102
Belgium,Europe,39148.59164,-3.579495251
Bhutan,Asia,5946.855084,4.85213918
Botswana,Africa,12354.36807,-8.690763995
Brazil,S.America,13175.55736,-1.217019223
Cambodia,Asia,2408.642377,-1.354764894
Cameroon,Africa,2447.270165,-0.710276193
Canada,N.America,38972.03887,-3.876551405
Central African Republic,Africa,851.6097342,6.83579527
Chile,S.America,18352.06901,-1.971482447
China,Asia,8401.369179,8.658208013
Colombia,Asia,10534.20754,0.210033325
Czech Republic,Europe,26053.23751,-5.049642886
Denmark,Europe,41172.32726,-6.169727358
Ecuador,S.America,8905.858921,-1.096542515
"Egypt, Arab Rep.",Africa,10272.08635,2.936564761
Ethiopia,Africa,968.236972,5.959443509
Fiji,Asia,7427.547691,-2.271596893
Finland,Europe,36693.63436,-8.974979075
France,Europe,35286.43837,-3.643769369
Germany,Europe,38079.81918,-4.904846205
Ghana,Africa,2906.223126,1.439294084
Greece,Europe,30195.46677,-3.52868205
India,Asia,4261.225472,7.06918757
