Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3834364,3879353,3897579,3895779,3886723,3879828,3875157,3868665,3861201,3853446,3845929,3839322,3833916,3829307
Belarus,BLR,"Population, total",SP.POP.TOTL,10005000,9928000,9865000,9797000,9730000,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000,9466000
Belize,BLZ,"Population, total",SP.POP.TOTL,238586,245198,251766,258346,265040,271920,278985,286196,293544,301016,308595,316280,324060,331900
Bermuda,BMU,"Population, total",SP.POP.TOTL,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65024
Bolivia,BOL,"Population, total",SP.POP.TOTL,8495271,8669066,8843350,9016787,9187610,9354709,9517395,9676456,9834098,9993406,10156601,10324445,10496285,10671200
Brazil,BRA,"Population, total",SP.POP.TOTL,174504898,176968205,179393768,181752951,184010283,186142403,188134315,189996976,191765567,193490922,195210154,196935134,198656019,200361925
Barbados,BRB,"Population, total",SP.POP.TOTL,267190,268296,269524,270844,272205,273568,274923,276277,277634,279006,280396,281804,283221,284644
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,331801,339114,346407,353649,360797,367815,374697,381440,388017,394400,400569,406512,412238,417784
Bhutan,BTN,"Population, total",SP.POP.TOTL,564350,580888,598455,616383,633893,650417,665568,679365,692159,704542,716939,729429,741822,753947
Botswana,BWA,"Population, total",SP.POP.TOTL,1755375,1783349,1808976,1832602,1854739,1875805,1895944,1915187,1933719,1951715,1969341,1986701,2003910,2021144
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3638316,3704045,3767248,3829636,3893595,3960897,4032102,4106897,4185106,4266247,4349921,4436217,4525209,4616417
Canada,CAN,"Population, total",SP.POP.TOTL,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34754312,35158304
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,108405522,107811539,107128884,106808998,106530417,106254694,105999320,105504531,105126686,104924372,104684690,104644940,104429039,104199533
Switzerland,CHE,"Population, total",SP.POP.TOTL,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8081482
Channel Islands,CHI,"Population, total",SP.POP.TOTL,148725,149799,150908,152039,153174,154298,155406,156497,157554,158565,159518,160407,161235,162018
Chile,CHL,"Population, total",SP.POP.TOTL,15454402,15639289,15819522,15995658,16168241,16337749,16504530,16668892,16831184,16991729,17150760,17308449,17464814,17619708
China,CHN,"Population, total",SP.POP.TOTL,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,16131332,16420173,16674987,16909801,17144325,17393994,17662417,17949061,18260044,18601342,18976588,19389954,19839750,20316086
Cameroon,CMR,"Population, total",SP.POP.TOTL,15927713,16350440,16782044,17223277,17674960,18137734,18611937,19097676,19595026,20103945,20624343,21156272,21699631,22253959
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3126204,3205636,3283719,3363418,3448868,3542867,3646653,3758858,3876475,3995146,4111715,4225359,4337051,4447632
Colombia,COL,"Population, total",SP.POP.TOTL,39897984,40558648,41216304,41872051,42527623,43184026,43841370,44498390,45153037,45802561,46444798,47078792,47704427,48321405
Comoros,COM,"Population, total",SP.POP.TOTL,528312,541976,556028,570491,585389,600733,616526,632736,649291,666097,683081,700216,717503,734917
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,442426,450812,459140,466939,473577,478651,481940,483713,484651,485714,487601,490556,494401,498897
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3929588,4013488,4093840,4171145,4246336,4320130,4392493,4463226,4532711,4601424,4669685,4737680,4805295,4872166
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,6431380,6478705,6521269,6564985,6609643,6654820,6700409,6746333,6792178,6837418,6881636,6924204,6964458,7002680
Cuba,CUB,"Population, total",SP.POP.TOTL,11138416,11175465,11212125,11245926,11273363,11292078,11301100,11301674,11296355,11288826,11281768,11276053,11270957,11265629
Curacao,CUW,"Population, total",SP.POP.TOTL,133860,128905,128804,131253,133363,136708,140217,143026,144971,145890,149311,150612,152056,153500
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,41685,43317,44742,46032,47299,48623,50026,51472,52912,54275,55509,56601,57570,58435
Cyprus,CYP,"Population, total",SP.POP.TOTL,943287,961481,979877,998142,1015820,1032586,1048314,1063095,1077089,1090553,1103685,1116513,1128994,1141166
