Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.02653659,56.58985366,57.119,57.62843902,58.12819512,58.62678049,59.1292439,59.63621951,60.1472439,60.66336585,61.18509756,61.71092683,62.23478049
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.96585366,79.36829268,79.56829268,79.6195122,79.87073171,80.17073171,80.82195122,80.87317073,81.17560976,81.47560976,81.62682927,82.47560976,82.37804878
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.41707317,70.25853659,70.90487805,71.31707317,71.9097561,72.56829268,72.69146341,72.81463415,73.77073171,74.82439024,75.42926829,76.22926829,76.42682927
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.24114634,52.94695122,53.73487805,54.60885366,55.56134146,56.57180488,57.61521951,58.65365854,59.65626829,60.60014634,61.46795122,62.25285366,62.96595122
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.15598372,77.48034511,77.60565837,77.68120084,78.19213239,78.35808754,78.73680739,78.95903951,79.20906496,79.47224316,79.75677656,80.3488522,80.54442826
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.3884143,56.60612292,56.83906755,57.08743432,57.35352298,57.64043128,57.9515442,58.28272247,58.62571306,58.97044982,59.30824021,59.63794158,59.95914097
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.46585366,77.96585366,78.1195122,78.36829268,78.71463415,78.81707317,79.21463415,79.26341463,79.56829268,79.7195122,79.87073171,80.47073171,80.62682927
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.60585366,67.788,67.96709756,68.14314634,68.31768293,68.49178049,68.666,68.84239024,69.021,69.20080488,69.38231707,69.56397561,69.74473171
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.05609756,79.15853659,79.26097561,79.11463415,80.16341463,80.16341463,80.81219512,81.11219512,81.21463415,81.41463415,81.66341463,82.11463415,82.56585366
Faeroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.83414634,78.98780488,79.14146341,79.24146341,79.3902439,79.53902439,79.78780488,80.18780488,80.53658537,80.88780488,81.28780488,81.68780488,82.03902439
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.2752439,67.38426829,67.50373171,67.63514634,67.77602439,67.92487805,68.07619512,68.22397561,68.36573171,68.4984878,68.62173171,68.73797561,68.85021951
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.68802439,59.49631707,59.42292683,59.48429268,59.68385366,60.00914634,60.4312439,60.90373171,61.38570732,61.85270732,62.2897561,62.69334146,63.07392683
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.74146341,77.99268293,78.14390244,78.44634146,78.74634146,79.04878049,79.24878049,79.44878049,79.6,80.05121951,80.40243902,80.95121951,81.5
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.63034146,71.92978049,72.21207317,72.47173171,72.7057561,72.91070732,73.08907317,73.24843902,73.39680488,73.53773171,73.67473171,73.80978049,73.94487805
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.98758537,57.14760976,57.42192683,57.78665854,58.22485366,58.70453659,59.18670732,59.63785366,60.02995122,60.35102439,60.59956098,60.78858537,60.94712195
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.24992683,51.27629268,51.44063415,51.74902439,52.19458537,52.74512195,53.34953659,53.94370732,54.47843902,54.93187805,55.298,55.59019512,55.84465854
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.17121951,55.4977561,55.82129268,56.14185366,56.45590244,56.76192683,57.05792683,57.34387805,57.61880488,57.88168293,58.1335122,58.37480488,58.60707317
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.44692683,51.6097561,51.7815122,51.96643902,52.16609756,52.38085366,52.60829268,52.84370732,53.08173171,53.32060976,53.55843902,53.79609756,54.03363415
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.76370732,47.83773171,47.9765122,48.19097561,48.48709756,48.86836585,49.32782927,49.84507317,50.39573171,50.96536585,51.53307317,52.08490244,52.61290244
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.88780488,78.38780488,78.64146341,78.84146341,79.03902439,79.23902439,79.43902439,79.43902439,79.93902439,80.18780488,80.38780488,80.73170732,80.63414634
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.25312195,70.47446341,70.70580488,70.94114634,71.17646341,71.4067561,71.625,71.82868293,72.01480488,72.18336585,72.33687805,72.47636585,72.61034146
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.96341463,67.60780488,68.16268293,68.4404878,68.80682927,69.22585366,69.51926829,69.98268293,70.21341463,70.46780488,71.03243902,,
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.74121951,68.2204878,68.64585366,69.01519512,69.33190244,69.60897561,69.86441463,70.11926829,70.38914634,70.68104878,70.99597561,71.32790244,71.66385366
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.09802439,75.4527561,75.79865854,76.13126829,76.44768293,76.74753659,77.03256098,77.30741463,77.57573171,77.83904878,78.10085366,78.36058537,78.61856098
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.4847561,63.64104878,63.82421951,64.03570732,64.27331707,64.52917073,64.79126829,65.04721951,65.28719512,65.50560976,65.7024878,65.88007317,66.04626829
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.15788086,76.42416097,76.52339217,76.64951574,77.07330611,77.18090053,77.65149845,77.94196276,78.12582561,78.4186395,78.68482534,79.01893382,79.29527476
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.87804878,81.42439024,81.47804878,81.32926829,81.7804878,81.5804878,82.37560976,82.32682927,82.37560976,82.77560976,82.97804878,83.42195122,83.4804878
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.48414634,70.69707317,70.8905122,71.07746341,71.26790244,71.47331707,71.70268293,71.9565122,72.23434146,72.5342439,72.85031707,73.17319512,73.49343902
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.74389951,52.15261309,52.61830765,53.13762254,53.70254784,54.30103603,54.91984549,55.54143387,56.14951014,56.73123108,57.27588079,57.7773898,58.24085234
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.80780488,74.51292683,74.71731707,74.61390244,75.5202439,75.24463415,75.83682927,75.70560976,75.91219512,76.16829268,76.47560976,76.77560976,76.92439024
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.42278049,57.69521951,58.01126829,58.38192683,58.80712195,59.28378049,59.80182927,60.33721951,60.87041463,61.38492683,61.8667561,62.30597561,62.70265854
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.24634146,72.24878049,72.34878049,72.3,72.64878049,72.64878049,73.09756098,73.15121951,73.70243902,73.90487805,74.20731707,74.85853659,75.06341463
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.25121951,67.58573171,67.91426829,68.23631707,68.55039024,68.85443902,69.14595122,69.42290244,69.68529268,69.93309756,70.16785366,70.39156098,70.6072439
Isle of Man,IMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,77.96585366,,,,,,,,,,
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.16185366,62.55663415,62.94934146,63.34004878,63.72426829,64.09758537,64.45509756,64.79385366,65.11339024,65.41319512,65.6942439,65.9584878,66.21085366
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.53658537,77.13414634,77.63414634,78.13902439,78.53902439,78.94390244,79.24146341,79.64146341,80.09512195,80.1902439,80.74390244,80.74634146,80.89512195
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.60770732,70.0042439,70.40119512,70.78136585,71.14534146,71.49331707,71.8295122,72.15860976,72.4842439,72.80792683,73.13014634,73.44931707,73.76273171
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.82992683,70.66741463,70.43104878,70.12356098,69.76865854,69.40790244,69.09156098,68.85946341,68.73468293,68.72795122,68.8297561,69.01578049,69.24192683
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.65365854,80.6902439,80.50243902,80.96341463,80.99756098,81.50243902,81.15853659,81.45365854,81.6097561,81.75121951,81.89756098,82.35853659,82.91707317
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.95365854,79.40731707,79.45121951,79.64878049,80.14634146,80.15121951,80.55365854,80.50487805,80.95121951,81.40487805,81.60243902,81.70487805,81.70487805
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.77804878,80.02682927,80.22926829,79.8804878,80.77804878,80.73170732,81.2804878,81.38292683,81.73414634,81.93658537,82.33658537,82.63658537,82.93658537
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.47129268,70.60460976,70.77573171,70.98168293,71.21843902,71.47841463,71.75607317,72.04080488,72.32302439,72.59414634,72.84712195,73.07639024,73.2824878
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.7797561,71.95636585,72.1324878,72.30460976,72.4737561,72.63890244,72.80104878,72.96119512,73.11978049,73.27834146,73.43587805,73.59187805,73.74739024
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.07609756,81.41707317,81.56341463,81.76,82.0302439,81.92512195,82.32195122,82.50707317,82.58756098,82.93146341,82.84268293,82.59121951,83.09609756
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.51707317,65.76829268,65.96829268,65.86585366,65.88780488,65.9097561,66.16097561,66.50487805,67.02195122,68.42926829,68.29536585,68.98,69.61
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.84012195,52.77714634,52.95246341,53.34546341,53.93460976,54.69734146,55.60119512,56.59234146,57.61304878,58.61504878,59.54707317,60.37090244,61.08317073
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.55853659,68.70731707,68.10731707,68.25609756,68.15365854,67.95609756,67.69512195,67.84634146,68.45121951,69.10243902,69.3,69.60243902,70.00243902
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.88726829,62.87502439,63.90914634,64.96756098,66.02470732,67.04312195,67.98282927,68.82095122,69.54404878,70.14819512,70.64336585,71.05109756,71.40882927
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.60646341,64.9567561,65.293,65.6207561,65.94302439,66.26326829,66.58395122,66.90656098,67.23058537,67.557,67.88382927,68.20960976,68.53234146
St. Kitts and Nevis,KNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,71.33658537,,,,,,,,,,
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.83536585,76.34195122,76.83902439,77.2502439,77.84658537,78.43268293,78.96926829,79.3495122,79.83268293,80.29731707,80.55121951,80.96707317,81.36829268
Kosovo,KSV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.95121951,67.99756098,67.94390244,68.19512195,68.44634146,68.69512195,68.94634146,69.19756098,69.39756098,69.64878049,69.9,70.14878049,70.49756098
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.35521951,73.43380488,73.51092683,73.58656098,73.66221951,73.73831707,73.81682927,73.89870732,73.98292683,74.07,74.16192683,74.2582439,74.359
Latin America & Caribbean (developing only),LAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.41538546,71.69333463,71.96233765,72.22355933,72.4807447,72.73494065,72.98720565,73.23735471,73.48596351,73.73255427,73.97765734,74.22114964,74.46199407
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.64446341,62.27,62.86602439,63.43504878,63.97853659,64.50046341,65.00382927,65.49158537,65.96878049,66.43639024,66.89843902,67.35495122,67.80592683
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.39082927,74.89492683,75.4212439,75.96626829,76.52165854,77.07158537,77.59673171,78.08331707,78.52241463,78.91007317,79.25278049,79.55892683,79.84636585
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.40912195,52.53346341,52.81080488,53.32865854,54.0962439,55.06617073,56.14039024,57.18821951,58.1074878,58.85919512,59.43431707,59.85987805,60.20639024
