India,Total2006,Total2007,Total2008,Total2009,Total2010,Total2011
INDIA,17,16,15.2,14.1,13.3,12.2
Andhra Pradesh,15.2,14.6,13.2,11.6,10.4,9.7
Assam,19.7,18.2,20.4,19,17.9,17
Bihar,18.5,18.9,16.3,14.7,13.4,12.4
Chhatisgarh,18.4,16.9,17.1,15.5,14.9,13.1
Delhi,9.3,8.4,7.8,7.1,6.5,6.3
Gujarat,16.2,15.1,13.7,13.7,12.9,12.1
Haryana,16.2,15.2,14.5,13.3,12.5,11.3
Himachal Pradesh,10.5,9.6,9.9,10.6,7.9,9.3
Jammu and Kashmir,12.3,12.4,11.6,10.4,10.8,10.3
Jharkhand,15.4,13.7,14.2,13.4,13,12.2
Karnataka,12.5,12.1,12.3,11,10.3,8.6
Kerala,3.2,2.8,2.4,2.6,2.9,2.6
Madhya Pradesh,24.3,23.5,22.6,21.4,20,18.8
Maharastra,8.8,8.5,7.9,6.8,6.4,5.1
Odisha,22,20,19.5,18.4,17.1,15.8
Punjab,11,11.1,10.2,9.5,8.7,7.4
Rajasthan,22.4,19.5,18.8,17.2,16.2,15
Tamil Nadu,9.2,8.4,7.3,6.7,5.8,5
Uttar Pradesh,23.9,22.3,21.6,20.1,19.6,17.9
West Bengal,9.7,9.2,8.5,7.9,7.4,7.8
