Date,MSFT,Returns
16-May-12,29.9,-1.026150281
17-May-12,29.72,-0.602006689
18-May-12,29.27,-1.514131898
21-May-12,29.75,1.639904339
22-May-12,29.76,0.033613445
23-May-12,29.11,-2.184139785
24-May-12,29.07,-0.137409825
25-May-12,29.06,-0.034399725
29-May-12,29.56,1.720578114
30-May-12,29.34,-0.744248985
31-May-12,29.19,-0.511247444
1-Jun-12,28.45,-2.535114765
4-Jun-12,28.55,0.351493849
5-Jun-12,28.5,-0.175131349
6-Jun-12,29.35,2.98245614
7-Jun-12,29.23,-0.408858603
8-Jun-12,29.65,1.436879918
11-Jun-12,28.9,-2.529510961
12-Jun-12,29.29,1.349480969
13-Jun-12,29.13,-0.546261523
14-Jun-12,29.34,0.720906282
15-Jun-12,30.02,2.317655078
18-Jun-12,29.84,-0.599600266
19-Jun-12,30.7,2.882037534
20-Jun-12,30.93,0.749185668
21-Jun-12,30.14,-2.554154543
22-Jun-12,30.7,1.857996019
25-Jun-12,29.86,-2.736156352
26-Jun-12,30.02,0.535833891
27-Jun-12,30.17,0.499666889
28-Jun-12,29.91,-0.861783228
29-Jun-12,30.59,2.273487128
2-Jul-12,30.56,-0.098071265
3-Jul-12,30.76,0.654450262
5-Jul-12,30.7,-0.195058518
6-Jul-12,30.18,-1.693811075
9-Jul-12,30,-0.596421471
10-Jul-12,29.74,-0.866666667
11-Jul-12,29.3,-1.479488904
12-Jul-12,28.63,-2.28668942
13-Jul-12,29.39,2.654558156
16-Jul-12,29.44,0.170125893
17-Jul-12,29.66,0.747282609
18-Jul-12,30.45,2.663519892
19-Jul-12,30.66,0.689655172
20-Jul-12,30.12,-1.761252446
23-Jul-12,29.28,-2.788844622
24-Jul-12,29.15,-0.443989071
25-Jul-12,28.83,-1.097770154
26-Jul-12,29.16,1.144640999
27-Jul-12,29.76,2.057613169
30-Jul-12,29.64,-0.403225806
31-Jul-12,29.47,-0.573549258
1-Aug-12,29.41,-0.203596878
2-Aug-12,29.19,-0.748044883
3-Aug-12,29.75,1.918465228
6-Aug-12,29.95,0.672268908
7-Aug-12,30.26,1.035058431
8-Aug-12,30.33,0.231328486
9-Aug-12,30.5,0.560501154
10-Aug-12,30.42,-0.262295082
13-Aug-12,30.39,-0.098619329
14-Aug-12,30.13,-0.855544587
15-Aug-12,30.2,0.232326585
16-Aug-12,30.78,1.920529801
17-Aug-12,30.9,0.389863548
20-Aug-12,30.74,-0.517799353
21-Aug-12,30.8,0.195185426
22-Aug-12,30.54,-0.844155844
23-Aug-12,30.26,-0.916830386
24-Aug-12,30.56,0.991407799
27-Aug-12,30.69,0.42539267
28-Aug-12,30.63,-0.195503421
29-Aug-12,30.65,0.065295462
30-Aug-12,30.32,-1.076672104
31-Aug-12,30.82,1.649076517
4-Sep-12,30.38,-1.427644387
5-Sep-12,30.39,0.032916392
6-Sep-12,31.34,3.126028299
7-Sep-12,30.95,-1.244416082
10-Sep-12,30.72,-0.743134087
11-Sep-12,30.79,0.227864583
12-Sep-12,30.78,-0.032478077
13-Sep-12,30.94,0.519818064
14-Sep-12,31.21,0.872656755
17-Sep-12,31.21,0
18-Sep-12,31.18,-0.096123037
19-Sep-12,31.05,-0.416933932
20-Sep-12,31.45,1.288244767
21-Sep-12,31.19,-0.826709062
24-Sep-12,30.78,-1.314523886
