Date,AAPL,MSFT,GOOGL
12-May-14,1.245004611,1.087506323,2.242603775
9-May-14,-0.416673753,-0.252270434,1.239979238
8-May-14,-0.732699678,0.558092339,0.418918919
7-May-14,-0.349926818,0.921658986,-0.874523987
6-May-14,-1.08992279,-0.938371798,-2.383576486
5-May-14,1.414155051,-0.655076846,0.273474816
2-May-14,0.185974166,-0.775,-0.865318552
1-May-14,0.235557288,-0.99009901,0.682396051
30-Apr-14,-0.378167576,-0.271537892,-0.270355938
29-Apr-14,-0.29625141,-0.880841693,2.552678879
28-Apr-14,3.872783858,2.405412177,-0.022940164
25-Apr-14,0.734452331,0.125439037,-2.121847167
24-Apr-14,8.198189614,0.428319476,-0.571152165
23-Apr-14,-1.30712808,-0.750187547,-1.464711274
22-Apr-14,0.099779732,0.125187782,1.136511115
21-Apr-14,1.186802301,-0.174956261,-0.730665881
17-Apr-14,1.142559874,-0.965346535,-3.646036531
16-Apr-14,0.202718357,1.635220126,2.770184071
15-Apr-14,-0.713080816,1.45482389,0.641966251
14-Apr-14,0.398375705,-0.076511094,1.38351681
11-Apr-14,-0.739283258,-0.381097561,-1.633466864
10-Apr-14,-1.289787298,-2.742772424,-3.588812077
9-Apr-14,1.314381782,1.632345555,1.709386379
8-Apr-14,-0.005730987,0.050251256,3.122283262
7-Apr-14,-1.570080102,-0.175570604,-0.847317744
4-Apr-14,-1.293639451,-2.779809802,-4.593175853
3-Apr-14,-0.693023684,-0.822249093,0.59494473
2-Apr-14,0.166158959,-0.169000483,0.019365856
1-Apr-14,0.914781831,1.04903635,1.828579624
31-Mar-14,-0.022352196,1.712158809,-0.504780251
28-Mar-14,-0.111636215,2.388211382,0.527165143
27-Mar-14,-0.429804735,-1.080673536,-1.562086312
26-Mar-14,-0.955980844,-1.363411006,-2.308859537
25-Mar-14,1.075687605,-0.395061728,0.069020257
24-Mar-14,1.186030364,0.846613546,-2.12291635
21-Mar-14,0.788727066,-0.42152244,-1.179945926
