position,start,end,player
Pitcher,2013-03-26,2013-05-25,Cesar Carbal
Catcher,2013-04-27,2013-06-26,Francisco Cervelli
Releiver,2013-05-3,2013-07-11,Joba Chamberlain
Center Outfield,2013-05-25,2013-07-26,Curtis Granderson
Infielder,2013-03-31,2013-05-30,Derek Jetter
Starter,2013-04-27,2013-05-12,Ivan Nova
Shortstop,2013-05-12,2013-05-27,Eduardo Nunez
Starter,2013-05-17,2013-06-1,Andy Pettitte
Pitcher,2013-03-16,2013-05-15,Michael Pinenda
Third Base,2013-02-13,2013-04-14,Alex Rodriguez
First Base,2013-03-31,2013-05-30,Mark Teixeira
Third Base,2013-04-30,2013-05-15,Kevin Youkilis
