DATE,Gini,gdp_ann,Presidents,ineql,years
1/1/1967,0.397,861.7,Johnson,2.935356093,1967
1/1/1968,0.386,942.5,Johnson,2.974281359,1968
1/1/1969,0.391,1019.9,Johnson,3.008557592,1969
1/1/1970,0.394,1075.9,Nixon,3.031771908,1970
1/1/1971,0.396,1167.8,Nixon,3.067368471,1971
1/1/1972,0.401,1282.4,Nixon,3.108023509,1972
1/1/1973,0.4,1428.6,Nixon,3.154910646,1973
1/1/1974,0.395,1548.8,Nixon,3.18999534,1974
1/1/1975,0.397,1688.9,Ford,3.227603936,1975
1/1/1976,0.398,1877.6,Ford,3.273603077,1976
1/1/1977,0.402,2086,Ford,3.319314304,1977
1/1/1978,0.402,2356.6,Carter,3.372285873,1978
1/1/1979,0.404,2632.2,Carter,3.420318885,1979
1/1/1980,0.403,2862.5,Carter,3.456745495,1980
1/1/1981,0.406,3210.9,Carter,3.50662678,1981
1/1/1982,0.412,3345,Reagan,3.524396122,1982
1/1/1983,0.414,3638.1,Reagan,3.560874632,1983
1/1/1984,0.415,4040.7,Reagan,3.606456608,1984
1/1/1985,0.419,4346.8,Reagan,3.638169658,1985
1/1/1986,0.425,4590.1,Reagan,3.661822147,1986
1/1/1987,0.426,4870.2,Reagan,3.687546796,1987
1/1/1988,0.426,5252.6,Reagan,3.720374329,1988
1/1/1989,0.431,5657.7,Reagan,3.752639915,1989
1/1/1990,0.428,5979.6,G. Bush,3.776672133,1990
1/1/1991,0.428,6174,G. Bush,3.790566625,1991
1/1/1992,0.433,6539.3,G. Bush,3.815531262,1992
1/1/1993,0.454,6878.7,G. Bush,3.837506369,1993
1/1/1994,0.456,7308.7,Clinton,3.863840136,1994
1/1/1995,0.45,7664.1,Clinton,3.884461163,1995
1/1/1996,0.455,8100.2,Clinton,3.908495742,1996
1/1/1997,0.459,8608.5,Clinton,3.934927484,1997
1/1/1998,0.456,9089.1,Clinton,3.958520882,1998
1/1/1999,0.458,9665.7,Clinton,3.985233312,1999
1/1/2000,0.462,10289.7,Clinton,4.012402713,2000
1/1/2001,0.466,10625.3,Clinton,4.026341201,2001
1/1/2002,0.462,10980.2,Bush,4.040610251,2002
1/1/2003,0.464,11512.3,Bush,4.061162098,2003
1/1/2004,0.466,12277,Bush,4.089092256,2004
1/1/2005,0.469,13095.4,Bush,4.117118769,2005
1/1/2006,0.47,13857.9,Bush,4.141697423,2006
1/1/2007,0.463,14480.4,Bush,4.160780559,2007
1/1/2008,0.466,14720.3,Bush,4.167916661,2008
1/1/2009,0.468,14418,Bush,4.158905021,2009
1/1/2010,0.47,14958.3,Obama,4.174882239,2010
1/1/2011,0.477,15533.8,Obama,4.191277709,2011
1/1/2012,0.477,16244.6,Obama,4.210709022,2012
